datetime,Dry mixing ratio of species ATO2 (mol mol-1 dry),Dry mixing ratio of species A3O2 (mol mol-1 dry),Dry mixing ratio of species IDHNBOO (mol mol-1 dry),Dry mixing ratio of species ICHOO (mol mol-1 dry),Dry mixing ratio of species IDHNDOO2 (mol mol-1 dry),Dry mixing ratio of species IDHNDOO1 (mol mol-1 dry),Dry mixing ratio of species ICNOO (mol mol-1 dry),Dry mixing ratio of species C4HVP1 (mol mol-1 dry),Dry mixing ratio of species BRO2 (mol mol-1 dry)
2016-01-05 06:30:00,6.830155e-16,1.602009e-14,1.6535765e-16,1.6991744e-21,3.910334e-20,5.7124104e-20,2.7029094e-17,0.0,5.4445677e-15
2016-01-05 07:30:00,6.867796e-16,1.5621852e-14,1.3003054e-16,1.72588e-21,4.239456e-20,6.194747e-20,3.1938393e-17,0.0,5.2418287e-15
2016-01-05 08:30:00,1.5979077e-14,1.6294705e-13,2.0733414e-17,3.6474216e-20,9.230137e-19,1.4045911e-18,1.2437154e-16,4.771094e-18,7.5092656e-15
2016-01-05 09:30:00,4.3616017e-14,1.4235604e-13,1.7544777e-17,2.976201e-19,5.851285e-18,1.0562974e-17,3.911291e-16,2.5231616e-17,1.8806486e-14
2016-01-05 10:30:00,6.720265e-14,1.4464966e-13,1.9383669e-17,6.682616e-19,6.508284e-18,1.5698536e-17,2.773215e-16,1.8733202e-17,2.6883016e-14
2016-01-05 11:30:00,8.8355064e-14,1.6157956e-13,1.7520387e-17,9.929544e-19,2.864036e-18,1.08518734e-17,1.1622773e-16,6.8928274e-18,3.3143457e-14
2016-01-05 12:30:00,1.041854e-13,1.7673637e-13,1.4797148e-17,1.2396376e-18,6.293442e-19,4.1237485e-18,4.1012452e-17,1.9458959e-18,3.6730577e-14
2016-01-05 13:30:00,1.1291113e-13,1.8349196e-13,1.2260059e-17,1.3896228e-18,9.4300716e-20,1.1197022e-18,1.9090271e-17,5.1618624e-19,3.7387746e-14
2016-01-05 14:30:00,1.13057824e-13,1.8003674e-13,9.699969e-18,1.3291987e-18,1.430265e-20,2.7434818e-19,1.4414932e-17,1.6831519e-19,3.5544596e-14
2016-01-05 15:30:00,1.0380574e-13,1.6670057e-13,7.365312e-18,1.0497393e-18,4.1938643e-21,7.043404e-20,1.233412e-17,8.7754635e-20,3.1581837e-14
2016-01-05 16:30:00,8.551392e-14,1.457357e-13,5.37152e-18,6.7147415e-19,3.9307045e-21,2.1889336e-20,9.797318e-18,6.846188e-20,2.5945361e-14
2016-01-05 17:30:00,5.9966145e-14,1.2535459e-13,3.846832e-18,3.0507186e-19,5.5813063e-21,8.024801e-21,7.0881e-18,6.8794395e-20,1.9607918e-14
2016-01-05 18:30:00,2.8134379e-14,1.312908e-13,3.816267e-18,6.15611e-20,3.9641447e-21,2.6040841e-21,5.3680577e-18,5.5760407e-20,1.41510415e-14
2016-01-05 19:30:00,3.0074527e-15,7.34248e-14,3.0769173e-17,1.6853892e-21,5.6453057e-22,5.8647095e-22,4.7012086e-18,2.8465494e-22,1.0759083e-14
2016-01-05 20:30:00,1.3868953e-15,5.0176324e-14,9.199332e-17,1.1609103e-21,1.7121671e-21,2.2466922e-21,4.4298127e-18,1.7419942e-28,9.2195996e-15
2016-01-05 21:30:00,1.0936722e-15,3.784196e-14,1.6559106e-16,1.0241999e-21,4.0994162e-21,5.747281e-21,4.4332112e-18,0.0,8.2015126e-15
